Goods ID,Level One Model,The Color ,PN,Alternative PN,Material Item Category,ID,P/N + zamiennik,The Material Sub-category ,Part Name
37650,Redmi Note 11 NFC,Tarnish,48320000D89T,,Structural Material,37650-FPCClass ,48320000D89T,FPCClass ,Main FPC Assy-K7T
37650,Redmi Note 11 NFC,Tarnish,321400001V1Y,,Consumable,37650-Adhesive Battery,321400001V1Y,Adhesive Battery,Easy Release Adhesive-Battery-K7T
37650,Redmi Note 11 NFC,Tarnish,48110000EA9T,,Structural Material,37650-Volume Key,48110000EA9T,Volume Key,Volume Key Assy-Tarnish-K7S
37650,Redmi Note 11 NFC,Tarnish,320200017F9T,,Consumable,37650-Adhesive Battery Cover,320200017F9T,Adhesive Battery Cover,Battery Cover Adhesive-K7S
37650,Redmi Note 11 NFC,Tarnish,320200017L9T,,Consumable,37650-Consumable,320200017L9T,Consumable,Rear Camera Deco Adhesive-K7S
37650,Redmi Note 11 NFC,Tarnish,48320000GA9T,,Structural Material,37650-FPCClass ,48320000GA9T,FPCClass ,FPC Assy-Side Key-K7S
37651,Redmi Note 11 NFC,Tarnish,5600070K7T00,,Structural Material,37651-Others,5600070K7T00,Others,After Sales Rear Camera Deco Assy-K7T
37651,Redmi Note 11 NFC,Tarnish,32010001KS9T,,Consumable,37651-Consumable,32010001KS9T,Consumable,Support Foam Adhesive-Flash Light Board-K7S
37651,Redmi Note 11 NFC,Tarnish,320200017X9T,,Consumable,37651-Consumable,320200017X9T,Consumable,Flash Light Board Adhesive-K7S
37651,Redmi Note 11 NFC,Tarnish,37010000BV9T,,Consumable,37651-Consumable,37010000BV9T,Consumable,Seal Rubber-Light Sensor&Sub Mic-K7S
37651,Redmi Note 11 NFC,Tarnish,37010000BY9T,,Consumable,37651-Consumable,37010000BY9T,Consumable,Waterproof Rubber-Audio Jack-K7S
37651,Redmi Note 11 NFC,Tarnish,49010000916G,,Structural Material,37651-Fingerprint Module,49010000916G,Fingerprint Module,Fingerprint Module-Tarnish-K7S
37651,Redmi Note 11 NFC,Tarnish,37010000C49T,,Consumable,37651-Consumable,37010000C49T,Consumable,Waterproof Adhesive Strip-Light Sensor-K7S
